HSCODE,parent,Info
1,0, Animals; live                   
101,1," Horses, asses, mules and hinnies; live                   "
10110,101," Horses, asses, mules and hinnies; live, pure bred breeding animals                  "
10111,101," Horses; live, pure bred breeding animals                  "
10119,101," Horses; live, other than pure bred breeding animals                  "
10120,101," Asses, mules and hinnies; live                   "
10121,101," Horses; live, pure bred breeding animals                  "
10129,101," Horses; live, other than pure bred breeding animals                  "
10130,101, Asses; live                   
10190,101, Mules and hinnies; live                   
102,1, Bovine animals; live                   
10210,102," Bovine animals; live, pure bred breeding animals                  "
10221,102," Cattle; live, pure bred breeding animals                  "
10229,102," Cattle; live, other than pure bred breeding animals                  "
10231,102," Buffalo; live, pure bred breeding animals                  "
10239,102," Buffalo; live, other than pure bred breeding animals                  "
10290,102," Bovine animals; live, other than pure bred breeding animals                  "
103,1, Swine; live                   
10310,103," Swine; live, pure bred breeding animals                  "
10391,103," Swine; live, other than pure bred breeding animals, weighing less than 50kg                  "
10392,103," Swine; live, other than pure bred breeding animals, weighing 50kg or more                  "
104,1, Sheep and goats; live                   
10410,104, Sheep; live                   
10420,104, Goats; live                   
105,1," Poultry; live, fowls of the species gallus domesticus, ducks, geese, turkeys and guinea fowls                   "
10511,105," Poultry; live, fowls of the species gallus domesticus, weighing not more than 185g                   "
10512,105," Poultry; live, weighing not more than 185g, turkeys                   "
10513,105," Poultry; live, ducks, weighing not more than 185g                   "
10514,105," Poultry; live, geese, weighing not more than 185g                   "
10515,105," Poultry; live, guinea fowls, weighing not more than 185g                   "
10519,105," Poultry; live, weighing not more than 185g, ducks, geese, turkeys and guinea fowls                   "
10591,105," Poultry; live, fowls of the species gallus domesticus, weighing more than 185g                   "
10592,105," Poultry; live, weighing over 185g but not more than 2000g, fowls of the species gallus domesticus                   "
10593,105," Poultry; live, weighing over 2000g, fowls of the species gallus domesticus                   "
10594,105," Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g                   "
10599,105," Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g                   "
106,1," Animals; live, n.e.c. in chapter 01                   "
10600,106," Animals; live, n.e.s. in chapter 1                   "
10611,106," Mammals; live, primates                   "
10612,106," Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)                   "
10613,106," Mammals; live, camels and other camelids (Camelidae)                   "
10614,106," Mammals; live, rabbits and hares                   "
